unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
161	TYDP211	32561	203740	817	4	TYD	Ter Yde	2	1	1	1	4	2	6.716	6.816	2.03	0.41	1.725	4	2006	2012	6	3
162	VDBP018	202838	192210	438	3	VDB	Vallei van de Drie Beken	2	1	1	1	3	1	22.057	22.487	2.49	0.4	1.86	2	2006	2015	3	3
163	VDBP024	202735	192560	438	2	VDB	Vallei van de Drie Beken	2	1	1	1	3	1	21.605	22.245	2.23	0.46	1.36	3	2006	2016	4	3
164	VDBP025	202703	192573	438	2	VDB	Vallei van de Drie Beken	2	1	1	1	4	2	21.835	22.405	2.56	0.46	1.76	3	2006	2016	4	3
165	VDBP034	202187	191485	54	3	VDB	Vallei van de Drie Beken	2	1	1	1	3	1	21.44	21.81	1.45	0.4	0.88	2	2006	2016	4	3
166	VDBP062	197720	189487	54	3	VDB	Vallei van de Drie Beken	2	1	1	1	3	1	19.62	19.89	2.49	0.4	2.02	2	2006	2016	4	3
167	VDBP503	202669	192582	438	2	VDB	Vallei van de Drie Beken	2	1	1	1	4	2	21.665	22.015	1.63	0.3	1.13	3	2006	2014	2	3
168	VDBP514	202304	191370	438	2	VDB	Vallei van de Drie Beken	2	1	1	1	3	1	21.53	21.76	2	0.3	1.62	3	2006	2016	5	3
169	VDBP531	197880	189431	54	3	VDB	Vallei van de Drie Beken	2	1	1	1	3	1	19.47	19.78	1.03	0.3	0.57	2	2006	2016	4	3
170	VENP006	208317	206290	886	3	VEN	De Vennen	2	1	1	1	3	1	33.318	33.658	1.58	0.3	1.09	2	2012	2016	5	3
171	VENP009	208455	206286	886	3	VEN	De Vennen	2	1	1	1	4	2	32.53	32.89	1.67	0	1.31	2	2012	2016	5	3
172	VENP010	208440	206098	886	3	VEN	De Vennen	2	1	1	1	3	1	32.59	33.44	2	0	1.15	2	2012	2016	5	3
173	VIEP104	192297	188970	310	2	VIE	Vierkensbroek-Demervallei	2	1	1	1	4	2	16.78	17.38	2.24	0.3	1.49	3	2003	2003	1	3
174	VIEP105	192266	188817	310	2	VIE	Vierkensbroek-Demervallei	2	1	1	1	4	2	16.77	17.12	2.51	0.3	2.01	3	2002	2003	2	3
175	VIEP107	192278	188526	310	2	VIE	Vierkensbroek-Demervallei	2	1	1	1	4	2	16.897	17.387	2.53	0.3	1.89	3	2002	2002	1	3
176	VIEP173	192713	188703	310	2	VIE	Vierkensbroek-Demervallei	2	1	1	1	4	2	16.89	16.98	2.13	0.3	1.89	3	2002	2002	1	3
177	VIEP174	192711	188697	310	2	VIE	Vierkensbroek-Demervallei	2	1	1	1	4	2	16.79	16.92	2.2	0.3	1.92	3	2002	2003	2	3
178	VINP084	203095	170251	486	2	VIN	Het Vinne	2	1	1	1	7	7	26.27	26.64	2.5	0.5	1.88	3	2005	2005	1	3
