loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
ARHP009	ARH	Aronst Hoek	203834	177051	ENT	Ingegeven	P	Peilbuis/Piëzometer	50824	70% rbbmr; 30% gh	1	70	1	88	2	486	35033	2.1	24.31	70% rbbmr; 30% gh	habitatmap_stdized	habitatmap_stdized	12
ARHP010	ARH	Aronst Hoek	203804	177070	ENT	Ingegeven	P	Peilbuis/Piëzometer	50824	70% rbbmr; 30% gh	1	70	1	88	2	486	35033	2.3	24.191	70% rbbmr; 30% gh	habitatmap_stdized	habitatmap_stdized	12
ARHP011	ARH	Aronst Hoek	203778	177234	ENT	Ingegeven	P	Peilbuis/Piëzometer	36348	80% gh; 20% rbbmr	2	20	1	88	2	486	66975	2	24.143	80% gh; 20% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ARHP013	ARH	Aronst Hoek	203744	177259	ENT	Ingegeven	P	Peilbuis/Piëzometer	36348	80% gh; 20% rbbmr	2	20	1	88	2	486	66975	2.3	24.407	80% gh; 20% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ASBP001	ASB	Asbeek	238494	179477	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60412	70% 91E0_vo; 30% rbbsm	1	70	1	106	1	1010	31562	0.96	71.947	70% 91E0_vo; 30% rbbsm	habitatmap_stdized	habitatmap_stdized	11
ASBP001	ASB	Asbeek	238494	179477	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60412	70% 91E0_vo; 30% rbbsm	2	30	1	41	3	1010	31562	0.96	71.947	70% 91E0_vo; 30% rbbsm	habitatmap_stdized	habitatmap_stdized	13
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60294	65% 6230_hmo; 35% 4010	1	65	1	51	4	1010	1518	1.06	68.959	65% 6230_hmo; 35% 4010	habitatmap_stdized	habitatmap_stdized	14
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60294	65% 6230_hmo; 35% 4010	2	35	1	38	3	1010	1518	1.06	68.959	65% 6230_hmo; 35% 4010	habitatmap_stdized	habitatmap_stdized	13
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60465	70% 91E0_vo; 30% rbbsm	1	70	1	106	1	1010	5761	1.06	68.959	70% 91E0_vo; 30% rbbsm	habitatmap_stdized	habitatmap_stdized	11
ASBP002	ASB	Asbeek	238407	179495	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60465	70% 91E0_vo; 30% rbbsm	2	30	1	41	3	1010	5761	1.06	68.959	70% 91E0_vo; 30% rbbsm	habitatmap_stdized	habitatmap_stdized	13
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	1	60	1	68	3	1010	67966	1.1	75.931	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	habitatmap_stdized	habitatmap_stdized	13
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	2	20	1	87	2	1010	67966	1.1	75.931	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	habitatmap_stdized	habitatmap_stdized	12
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	3	10	1	80	1	1010	67966	1.1	75.931	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	habitatmap_stdized	habitatmap_stdized	11
ASBP003	ASB	Asbeek	238036	179497	VLD	Gevalideerd	P	Peilbuis/Piëzometer	60264	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	4	10	1	51	4	1010	67966	1.1	75.931	60% rbbhc; 20% rbbmc; 10% 7140_meso; 10% 6230_hmo	habitatmap_stdized	habitatmap_stdized	14
