loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat
TVGP043	TVG	Turnhouts Vennengebied	189364	226376	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	46	2.45	31.52	15	NA	NA	0	3
TYDP004	TYD	Ter Yde	33126	203530	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.281	6.531	14	2004	2012	7	3
TYDP012	TYD	Ter Yde	33155	203402	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.65	6.187	14	2004	2012	8	3
TYDP031	TYD	Ter Yde	33253	203328	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	817	2.74	6.36	15	2004	2012	8	3
TYDP050	TYD	Ter Yde	32403	204128	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	817	3	6.932	15	2001	2012	10	3
TYDP055	TYD	Ter Yde	32743	203672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.56	6.762	14	2001	2012	10	3
TYDP057	TYD	Ter Yde	32283	204089	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.045	6.139	14	2001	2012	10	3
TYDP058	TYD	Ter Yde	32486	203672	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.96	6.726	14	2001	2012	10	3
TYDP059	TYD	Ter Yde	32669	203788	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.53	6.38	14	2001	2010	9	3
TYDP072	TYD	Ter Yde	33571	203880	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.675	5.51	14	2001	2010	9	3
TYDP203	TYD	Ter Yde	33046	203477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.4	5.858	14	2005	2012	6	3
TYDP204	TYD	Ter Yde	33222	203448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	2.04	5.6	14	2005	2012	7	3
TYDP206	TYD	Ter Yde	33673	203910	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.69	5.39	14	2005	2012	7	3
TYDP207	TYD	Ter Yde	33614	203986	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.4	5.524	14	2005	2012	7	3
TYDP211	TYD	Ter Yde	32561	203740	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	817	1.93	6.816	14	2006	2012	6	3
UKPP010	UKP	Uitkerkse Polder	62897	219857	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	437	1	2.38	15	NA	NA	0	3
UKPP018	UKP	Uitkerkse Polder	62808	222365	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	437	1	2.33	15	NA	NA	0	3
UKPP022	UKP	Uitkerkse Polder	62810	221027	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	437	1	2.98	15	NA	NA	0	3
