loc_code	x	y	target_groupnr	description	type	certain	phab	groupnr	group_name	type_name	type_shortname	typeclass_name	selectie	typelevel	main_type	typeclass	hydr_class	hydr_class_name	hydr_class_shortname	groundw_dep	groundw_dep_name	groundw_dep_shortname	flood_dep	flood_dep_name	flood_dep_shortname	tag_1	tag_1_name	tag_1_shortname	tag_2	tag_2_name	tag_2_shortname	tag_3	tag_3_name	tag_3_shortname
VIEP117	192297	188970	2	100% rbbmr	rbbmr	1	100	2	3	88	88	8	-1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VLBP001	134476	192715	3	100% 91E0_vn	91E0_vn	1	100	3	2	105	105	10	1	2	58	10	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
VRIP013	166733	212477	1	100% 91E0_vm	91E0_vm	1	100	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WAHP712	144656	214876	2	100% rbbmr	rbbmr	1	100	2	3	88	88	8	-1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WALP118	186105	180248	4	70% 9160; 30% 91E0	9160	1	70	4	4	98	98	10	1	1	56	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WELP018	128284	176954	3	100% 6430_hf,rbbhf	6430_hf	0	100	3	2	59	59	7	-1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WELP018	128284	176954	3	100% 6430_hf,rbbhf	rbbhf	0	100	3	2	69	69	7	-1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WELP035	129144	176660	3	70% rbbhf; 30% rbbmr	rbbhf	1	70	3	2	69	69	7	-1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WELP035	129144	176660	3	70% rbbhf; 30% rbbmr	rbbmr	1	30	2	3	88	88	8	-1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
WERP012	192332	194448	1	100% 91E0_vm	91E0_vm	1	100	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	60% 2190_overig; 20% 2170; 15% 2160; 5% 2130_hd	2130_hd	1	5	5	1	15	15	2	1	2	8	2	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	89% 2160; 6% 2170; 5% 2130_hd	2130_hd	1	5	5	1	15	15	2	1	2	8	2	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	63% 2170; 37% 2130_hd	2130_hd	1	37	5	1	15	15	2	1	2	8	2	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	60% 2190_overig; 20% 2170; 15% 2160; 5% 2130_hd	2160	1	15	4	4	114	17	2	1	1	10	2	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	89% 2160; 6% 2170; 5% 2130_hd	2160	1	89	4	4	114	17	2	1	1	10	2	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WESP008	22617	198715	4	89% 2160; 6% 2170; 5% 2130_hd	2170	1	6	4	4	18	18	2	1	1	11	2	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
