mean	sd	p02.5	p50	p97.5	jaar	simulatienr	intercept
3.74534964561462	0.0581290423870087	3.63072649632877	3.74552653926165	3.85899445256637	2009	7	3.71941351890564
3.75687026977539	0.0576974041759968	3.64276832970598	3.75714612433075	3.86946802442754	2009	8	3.73004460334778
3.70560431480408	0.0592437945306301	3.58970525070377	3.70546591729577	3.82225896330944	2009	9	3.67714214324951
3.70147681236267	0.0566298775374889	3.58797792621648	3.7023327466724	3.81037881271919	2009	10	3.70199537277222
3.72980403900146	0.06026791036129	3.61195383965659	3.72963089266164	3.8486424580354	2009	11	3.68804025650024
3.72913312911987	0.0625965967774391	3.60777590104395	3.72858667115257	3.85365801182769	2009	12	3.68760991096497
3.75308108329773	0.059658020734787	3.63662165450695	3.75283018652644	3.87084702100464	2009	13	3.72119665145874
3.7308075428009	0.0591287836432457	3.61392083035944	3.73108879389151	3.84613358922712	2009	14	3.70295977592468
3.74015974998474	0.0562433563172817	3.62912973690326	3.7403520488383	3.85013439707792	2009	15	3.71337366104126
3.74044966697693	0.0582373328506947	3.6263742882198	3.74033392207294	3.8551526497179	2009	16	3.70851516723633
3.74553179740906	0.0575124993920326	3.6319426554854	3.74577694916716	3.85783358265108	2009	17	3.71745824813843
3.72919726371765	0.0612875819206238	3.61002254339358	3.72879506611732	3.85070932920806	2009	18	3.67099618911743
3.74528002738953	0.0561691969633102	3.63429107504849	3.74551576063492	3.85494113048028	2009	19	3.72992753982544
3.725825548172	0.0566732473671436	3.61389225026624	3.72603887454862	3.83656341003116	2009	20	3.7100567817688
3.79924035072327	0.0565303675830364	3.68769113863956	3.79942933519091	3.90973022665005	2010	1	3.7223174571991
3.74830889701843	0.0585775785148144	3.6335153536763	3.74826687896718	3.86331738134305	2010	2	3.70737457275391
3.77515339851379	0.0581380687654018	3.66010979427016	3.77546493599251	3.88846616264491	2010	3	3.71592688560486
3.77046298980713	0.0571010671555996	3.65670348678018	3.77102397606725	3.88113405838576	2010	4	3.69567036628723
3.73811507225037	0.0573491640388966	3.62452455867649	3.73844635616557	3.84987699480547	2010	5	3.69287395477295
3.78181767463684	0.0582267940044403	3.66655315612249	3.78212471936032	3.89536689576196	2010	6	3.72149610519409
3.77389025688171	0.0580936633050442	3.65931861176763	3.7740688189784	3.88745428375504	2010	7	3.71941351890564
3.78594207763672	0.0579817779362202	3.67100775223598	3.78629829880588	3.89890034570102	2010	8	3.73004460334778
3.72749757766724	0.0595830231904984	3.61072124448311	3.72744846741016	3.8445813752431	2010	9	3.67714214324951
3.72779202461243	0.0576103627681732	3.61190322618905	3.72886077515132	3.83800825853734	2010	10	3.70199537277222
3.74741458892822	0.0611469224095345	3.62656176627366	3.74770229805403	3.86657957426538	2010	11	3.68804025650024
3.7328085899353	0.0614215172827244	3.61274736453679	3.73263271521048	3.85387340976827	2010	12	3.68760991096497
3.78110504150391	0.0599736459553242	3.66396763621388	3.78086318965399	3.89948949353482	2010	13	3.72119665145874
3.75778841972351	0.0589878410100937	3.64093835379269	3.75813665199402	3.87271930091634	2010	14	3.70295977592468
3.76625871658325	0.0559079200029373	3.65579222610226	3.76647486466436	3.87554723094011	2010	15	3.71337366104126
