unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
225	ZABP013	ZAB	Zammelsbroek	191535	198711	2	1	1	1	3	822	2.09	14.77	13	1	0	2	3	1	7	7	14.97	2.49	0.4
227	ZABP022	ZAB	Zammelsbroek	193188	199206	2	1	1	1	1	822	1.05	15.76	11	1	0	2	3	1	3	1	16.05	1.54	0.4
228	ZABP023	ZAB	Zammelsbroek	193145	199376	2	1	1	1	3	822	1.58	15.7	13	1	0	7	3	1	1	6	16.58	2.66	0.4
230	ZEBP046	ZEB	Zeebrugge	69422	220210	2	1	1	1	3	693	0.5	2.6282	13	1	0	2	3	1	3	1	3.3782	1.75	1
231	ZEMP005	ZEM	Zemst	158392	184259	2	1	1	1	4	710	2.52	7.663	14	1	0	2	3	1	3	1	8.223	3.08	0
232	ZIEP022	ZIE	Ziepbeekvallei	238643	180318	2	1	1	1	3	1010	0.57	68.515	13	1	0	3	3	1	3	1	68.945	1.15	0.3
233	ZIEP179	ZIE	Ziepbeekvallei	239177	180268	2	1	1	1	3	1010	1.52	56.114	13	1	0	2	3	1	4	2	56.494	2.4	1
235	ZUVP020	ZUV	Zuunvallei	142603	164595	2	1	1	1	4	441	2	23.58	14	1	0	2	3	-1	5	4	24	2.92	1
237	ZWAP200	ZWA	Zwarte Beek	217985	197987	2	1	1	1	1	950	1.74	63.003	11	1	0	4	3	1	3	1	63.663	2.55	0.3
238	ZWAP208	ZWA	Zwarte Beek	218005	198226	2	1	1	1	1	950	1.1	59.288	11	1	0	3	3	1	3	1	59.938	1.9	0.3
239	ZWAP216	ZWA	Zwarte Beek	218514	198727	2	1	1	1	1	950	1.14	57.93	11	1	0	2	3	1	1	6	58.78	2.14	0.3
242	ZWAP234	ZWA	Zwarte Beek	217054	198920	2	1	1	1	3	950	1.1	57.699	13	1	0	2	3	1	3	1	58.209	1.76	0.3
243	ZWAP300	ZWA	Zwarte Beek	213086	204149	2	1	1	1	3	630	0.815	44.593	13	1	0	5	3	1	3	1	45.208	1.58	0.3
244	ZWAP301	ZWA	Zwarte Beek	213467	203688	2	1	1	1	3	630	0.94	47.298	13	1	0	3	3	1	3	1	47.738	1.63	0.5
246	ZWAP304	ZWA	Zwarte Beek	214442	205517	2	1	1	1	1	630	1.41	45.063	11	1	0	2	3	1	3	1	45.423	2.02	0.5
247	ZWAP305	ZWA	Zwarte Beek	214503	203705	2	1	1	1	3	630	1.27	49.791	13	1	0	4	3	1	3	1	50.271	2	0.5
248	ZWAP306	ZWA	Zwarte Beek	215123	203590	2	1	1	1	3	630	1.11	51.375	13	1	0	2	3	1	3	1	51.915	1.9	0.5
249	ZWAP309	ZWA	Zwarte Beek	215657	205459	2	1	1	1	1	630	0.92	47.748	11	1	0	4	3	1	3	1	48.318	1.64	0.3
250	ZWAP332	ZWA	Zwarte Beek	208201	190059	2	1	1	1	3	438	1.75	25.21	13	1	0	3	3	1	4	2	25.68	2.37	0.3
251	ZWAP335	ZWA	Zwarte Beek	208176	190160	2	1	1	1	3	438	1.85	25.19	13	1	0	2	3	1	4	2	25.49	2.3	0.3
252	ZWBP011	ZWB	Zwalmbeek	107248	173411	2	1	1	1	4	89	2.25	20.32	14	1	0	4	3	-1	4	2	20.32	3.5	2.5
253	ZWBP013	ZWB	Zwalmbeek	107282	173439	2	1	1	1	4	89	1.75	20.23	14	1	0	2	3	-1	4	2	20.23	3	2.5
254	ZWBP014	ZWB	Zwalmbeek	107312	173473	2	1	1	1	4	89	1.75	20.17	14	1	0	6	3	-1	4	2	20.17	3	2.5
255	ZWBP017	ZWB	Zwalmbeek	107421	173519	2	1	1	1	4	89	1.75	32.07	14	1	0	5	3	-1	4	2	32.07	3	2.5
